id,county,county_name,year,labor,employed,unemployed,unemplyment_rate
01,001,"Autauga County, AL",2014,25592,24097,1495,5.8
01,003,"Baldwin County, AL",2014,86384,81083,5301,6.1
01,005,"Barbour County, AL",2014,8845,7913,932,10.5
01,007,"Bibb County, AL",2014,8559,7942,617,7.2
01,009,"Blount County, AL",2014,24527,23023,1504,6.1
01,011,"Bullock County, AL",2014,4732,4314,418,8.8
01,013,"Butler County, AL",2014,9270,8477,793,8.6
01,015,"Calhoun County, AL",2014,47237,43467,3770,8
01,017,"Chambers County, AL",2014,15302,14276,1026,6.7
01,019,"Cherokee County, AL",2014,11386,10725,661,5.8
01,021,"Chilton County, AL",2014,19096,17899,1197,6.3
01,023,"Choctaw County, AL",2014,4494,4089,405,9
01,025,"Clarke County, AL",2014,8155,7162,993,12.2
01,027,"Clay County, AL",2014,5511,5117,394,7.1
01,029,"Cleburne County, AL",2014,5853,5467,386,6.6
01,031,"Coffee County, AL",2014,20228,18884,1344,6.6
01,033,"Colbert County, AL",2014,24027,22034,1993,8.3
01,035,"Conecuh County, AL",2014,4716,4229,487,10.3
01,037,"Coosa County, AL",2014,4467,4074,393,8.8
01,039,"Covington County, AL",2014,15911,14674,1237,7.8
01,041,"Crenshaw County, AL",2014,6298,5862,436,6.9
01,043,"Cullman County, AL",2014,35919,33738,2181,6.1
01,045,"Dale County, AL",2014,20316,18878,1438,7.1
01,047,"Dallas County, AL",2014,16003,14204,1799,11.2
01,049,"DeKalb County, AL",2014,28943,26954,1989,6.9
01,051,"Elmore County, AL",2014,36543,34455,2088,5.7
01,053,"Escambia County, AL",2014,14365,13215,1150,8
01,055,"Etowah County, AL",2014,43719,40639,3080,7
01,057,"Fayette County, AL",2014,6349,5851,498,7.8
01,059,"Franklin County, AL",2014,13714,12653,1061,7.7
01,061,"Geneva County, AL",2014,10793,10071,722,6.7
01,063,"Greene County, AL",2014,2985,2613,372,12.5
01,065,"Hale County, AL",2014,6032,5436,596,9.9
01,067,"Henry County, AL",2014,6775,6267,508,7.5
01,069,"Houston County, AL",2014,45142,42080,3062,6.8
01,071,"Jackson County, AL",2014,23446,21743,1703,7.3
01,073,"Jefferson County, AL",2014,312131,292505,19626,6.3
01,075,"Lamar County, AL",2014,5625,5232,393,7
01,077,"Lauderdale County, AL",2014,43474,40346,3128,7.2
01,079,"Lawrence County, AL",2014,14021,12868,1153,8.2
01,081,"Lee County, AL",2014,71346,67358,3988,5.6
01,083,"Limestone County, AL",2014,39576,37162,2414,6.1
01,085,"Lowndes County, AL",2014,3872,3376,496,12.8
01,087,"Macon County, AL",2014,8237,7486,751,9.1
01,089,"Madison County, AL",2014,170070,159573,10497,6.2
01,091,"Marengo County, AL",2014,7623,7015,608,8
01,093,"Marion County, AL",2014,12288,11317,971,7.9
01,095,"Marshall County, AL",2014,39903,37239,2664,6.7
01,097,"Mobile County, AL",2014,185318,170959,14359,7.7
01,099,"Monroe County, AL",2014,7615,6773,842,11.1
01,101,"Montgomery County, AL",2014,105004,97799,7205,6.9
01,103,"Morgan County, AL",2014,56034,52336,3698,6.6
01,105,"Perry County, AL",2014,3489,3066,423,12.1
01,107,"Pickens County, AL",2014,7760,7124,636,8.2
01,109,"Pike County, AL",2014,14948,13846,1102,7.4
01,111,"Randolph County, AL",2014,9274,8650,624,6.7
01,113,"Russell County, AL",2014,24767,23147,1620,6.5
01,115,"St. Clair County, AL",2014,38507,36288,2219,5.8
01,117,"Shelby County, AL",2014,107208,102400,4808,4.5
01,119,"Sumter County, AL",2014,5373,4917,456,8.5
01,121,"Talladega County, AL",2014,35386,32639,2747,7.8
01,123,"Tallapoosa County, AL",2014,18416,17034,1382,7.5
01,125,"Tuscaloosa County, AL",2014,97049,91323,5726,5.9
01,127,"Walker County, AL",2014,25752,23714,2038,7.9
01,129,"Washington County, AL",2014,6654,6015,639,9.6
01,131,"Wilcox County, AL",2014,2864,2379,485,16.9
01,133,"Winston County, AL",2014,9630,8802,828,8.6
02,013,"Aleutians East Borough, AK",2014,2225,2125,100,4.5
02,016,"Aleutians West Census Area, AK",2014,4475,4260,215,4.8
02,020,"Anchorage Borough/municipality, AK",2014,158075,149849,8226,5.2
02,050,"Bethel Census Area, AK",2014,7305,6131,1174,16.1
02,060,"Bristol Bay Borough, AK",2014,497,457,40,8
02,068,"Denali Borough, AK",2014,1072,961,111,10.4
02,070,"Dillingham Census Area, AK",2014,2119,1906,213,10.1
02,090,"Fairbanks North Star Borough, AK",2014,46792,44092,2700,5.8
02,100,"Haines Borough, AK",2014,1113,994,119,10.7
02,105,"Hoonah-Angoon Census Area, AK",2014,1140,967,173,15.2
02,110,"Juneau Borough/city, AK",2014,17460,16578,882,5.1
02,122,"Kenai Peninsula Borough, AK",2014,27954,25759,2195,7.9
02,130,"Ketchikan Gateway Borough, AK",2014,7107,6548,559,7.9
02,150,"Kodiak Island Borough, AK",2014,6581,6208,373,5.7
02,158,"Kusilvak Census Area, AK",2014,2828,2155,673,23.8
02,164,"Lake and Peninsula Borough, AK",2014,644,539,105,16.3
02,170,"Matanuska-Susitna Borough, AK",2014,44887,41270,3617,8.1
02,180,"Nome Census Area, AK",2014,4124,3617,507,12.3
02,185,"North Slope Borough, AK",2014,4350,4091,259,6
02,188,"Northwest Arctic Borough, AK",2014,3006,2494,512,17
02,195,"Petersburg Borough, AK",2014,1583,1433,150,9.5
02,198,"Prince of Wales-Hyder Census Area, AK",2014,2836,2457,379,13.4
02,220,"Sitka Borough/city, AK",2014,4682,4443,239,5.1
02,230,"Skagway Municipality, AK",2014,805,709,96,11.9
02,240,"Southeast Fairbanks Census Area, AK",2014,2921,2535,386,13.2
02,261,"Valdez-Cordova Census Area, AK",2014,4884,4413,471,9.6
02,275,"Wrangell Borough/city, AK",2014,1061,972,89,8.4
02,282,"Yakutat Borough/city, AK",2014,273,246,27,9.9
02,290,"Yukon-Koyukuk Census Area, AK",2014,2585,2095,490,19
04,001,"Apache County, AZ",2014,21213,17890,3323,15.7
04,003,"Cochise County, AZ",2014,50969,46682,4287,8.4
04,005,"Coconino County, AZ",2014,72238,67117,5121,7.1
04,007,"Gila County, AZ",2014,21413,19635,1778,8.3
04,009,"Graham County, AZ",2014,14442,13369,1073,7.4
04,011,"Greenlee County, AZ",2014,4720,4414,306,6.5
04,012,"La Paz County, AZ",2014,7954,7351,603,7.6
04,013,"Maricopa County, AZ",2014,1961997,1848119,113878,5.8
04,015,"Mohave County, AZ",2014,78362,71531,6831,8.7
04,017,"Navajo County, AZ",2014,41688,37075,4613,11.1
04,019,"Pima County, AZ",2014,463126,435183,27943,6
04,021,"Pinal County, AZ",2014,153748,142996,10752,7
04,023,"Santa Cruz County, AZ",2014,20297,17674,2623,12.9
04,025,"Yavapai County, AZ",2014,94311,88321,5990,6.4
04,027,"Yuma County, AZ",2014,93407,72025,21382,22.9
05,001,"Arkansas County, AR",2014,9465,8957,508,5.4
