id,county,county_name,year,labor,employed,unemployed,unemplyment_rate
01,001,"Autauga County, AL",2013,25810,24205,1605,6.2
01,003,"Baldwin County, AL",2013,85280,79626,5654,6.6
01,005,"Barbour County, AL",2013,9099,8168,931,10.2
01,007,"Bibb County, AL",2013,8705,8016,689,7.9
01,009,"Blount County, AL",2013,24887,23325,1562,6.3
01,011,"Bullock County, AL",2013,4778,4331,447,9.4
01,013,"Butler County, AL",2013,9147,8206,941,10.3
01,015,"Calhoun County, AL",2013,48405,44163,4242,8.8
01,017,"Chambers County, AL",2013,15275,14058,1217,8
01,019,"Cherokee County, AL",2013,11403,10649,754,6.6
01,021,"Chilton County, AL",2013,19359,18090,1269,6.6
01,023,"Choctaw County, AL",2013,4703,4270,433,9.2
01,025,"Clarke County, AL",2013,8285,7145,1140,13.8
01,027,"Clay County, AL",2013,5393,4943,450,8.3
01,029,"Cleburne County, AL",2013,5830,5383,447,7.7
01,031,"Coffee County, AL",2013,20516,19105,1411,6.9
01,033,"Colbert County, AL",2013,23896,21937,1959,8.2
01,035,"Conecuh County, AL",2013,4695,4191,504,10.7
01,037,"Coosa County, AL",2013,4452,4044,408,9.2
01,039,"Covington County, AL",2013,16066,14768,1298,8.1
01,041,"Crenshaw County, AL",2013,6311,5828,483,7.7
01,043,"Cullman County, AL",2013,35783,33402,2381,6.7
01,045,"Dale County, AL",2013,20750,19220,1530,7.4
01,047,"Dallas County, AL",2013,16293,14301,1992,12.2
01,049,"DeKalb County, AL",2013,29033,26823,2210,7.6
01,051,"Elmore County, AL",2013,36930,34658,2272,6.2
01,053,"Escambia County, AL",2013,14292,13065,1227,8.6
01,055,"Etowah County, AL",2013,43862,40538,3324,7.6
01,057,"Fayette County, AL",2013,6406,5875,531,8.3
01,059,"Franklin County, AL",2013,13678,12578,1100,8
01,061,"Geneva County, AL",2013,11044,10276,768,7
01,063,"Greene County, AL",2013,2997,2614,383,12.8
01,065,"Hale County, AL",2013,6208,5486,722,11.6
01,067,"Henry County, AL",2013,6954,6421,533,7.7
01,069,"Houston County, AL",2013,45711,42553,3158,6.9
01,071,"Jackson County, AL",2013,23687,21822,1865,7.9
01,073,"Jefferson County, AL",2013,315405,294426,20979,6.7
01,075,"Lamar County, AL",2013,5802,5394,408,7
01,077,"Lauderdale County, AL",2013,43150,40083,3067,7.1
01,079,"Lawrence County, AL",2013,14282,13093,1189,8.3
01,081,"Lee County, AL",2013,70523,66379,4144,5.9
01,083,"Limestone County, AL",2013,39435,36969,2466,6.3
01,085,"Lowndes County, AL",2013,4009,3443,566,14.1
01,087,"Macon County, AL",2013,8414,7603,811,9.6
01,089,"Madison County, AL",2013,171363,160551,10812,6.3
01,091,"Marengo County, AL",2013,7634,6955,679,8.9
01,093,"Marion County, AL",2013,12487,11499,988,7.9
01,095,"Marshall County, AL",2013,40614,37841,2773,6.8
01,097,"Mobile County, AL",2013,187046,171088,15958,8.5
01,099,"Monroe County, AL",2013,7766,6843,923,11.9
01,101,"Montgomery County, AL",2013,106360,98613,7747,7.3
01,103,"Morgan County, AL",2013,57001,53090,3911,6.9
01,105,"Perry County, AL",2013,3566,3083,483,13.5
01,107,"Pickens County, AL",2013,7420,6727,693,9.3
01,109,"Pike County, AL",2013,14924,13785,1139,7.6
01,111,"Randolph County, AL",2013,9212,8498,714,7.8
01,113,"Russell County, AL",2013,25018,23208,1810,7.2
01,115,"St. Clair County, AL",2013,38835,36455,2380,6.1
01,117,"Shelby County, AL",2013,107004,102054,4950,4.6
01,119,"Sumter County, AL",2013,5463,4969,494,9
01,121,"Talladega County, AL",2013,35771,32700,3071,8.6
01,123,"Tallapoosa County, AL",2013,18399,16909,1490,8.1
01,125,"Tuscaloosa County, AL",2013,95678,89602,6076,6.4
01,127,"Walker County, AL",2013,26364,24136,2228,8.5
01,129,"Washington County, AL",2013,6714,5985,729,10.9
01,131,"Wilcox County, AL",2013,2780,2244,536,19.3
01,133,"Winston County, AL",2013,9644,8737,907,9.4
02,013,"Aleutians East Borough, AK",2013,2217,2083,134,6
02,016,"Aleutians West Census Area, AK",2013,4272,3976,296,6.9
02,020,"Anchorage Borough/municipality, AK",2013,158401,150169,8232,5.2
02,050,"Bethel Census Area, AK",2013,7424,6224,1200,16.2
02,060,"Bristol Bay Borough, AK",2013,491,448,43,8.8
02,068,"Denali Borough, AK",2013,1078,943,135,12.5
02,070,"Dillingham Census Area, AK",2013,2134,1916,218,10.2
02,090,"Fairbanks North Star Borough, AK",2013,47286,44514,2772,5.9
02,100,"Haines Borough, AK",2013,1142,1026,116,10.2
02,105,"Hoonah-Angoon Census Area, AK",2013,1124,959,165,14.7
02,110,"Juneau Borough/city, AK",2013,17589,16702,887,5
02,122,"Kenai Peninsula Borough, AK",2013,27831,25592,2239,8
02,130,"Ketchikan Gateway Borough, AK",2013,7168,6606,562,7.8
02,150,"Kodiak Island Borough, AK",2013,6594,6183,411,6.2
02,158,"Kusilvak Census Area, AK",2013,2782,2124,658,23.7
02,164,"Lake and Peninsula Borough, AK",2013,638,539,99,15.5
02,170,"Matanuska-Susitna Borough, AK",2013,43925,40253,3672,8.4
02,180,"Nome Census Area, AK",2013,4142,3631,511,12.3
02,185,"North Slope Borough, AK",2013,4072,3772,300,7.4
02,188,"Northwest Arctic Borough, AK",2013,3068,2564,504,16.4
02,195,"Petersburg Borough, AK",2013,1659,1515,144,8.7
02,198,"Prince of Wales-Hyder Census Area, AK",2013,2811,2468,343,12.2
02,220,"Sitka Borough/city, AK",2013,4625,4371,254,5.5
02,230,"Skagway Municipality, AK",2013,794,695,99,12.5
02,240,"Southeast Fairbanks Census Area, AK",2013,3013,2617,396,13.1
02,261,"Valdez-Cordova Census Area, AK",2013,4934,4444,490,9.9
02,275,"Wrangell Borough/city, AK",2013,1059,974,85,8
02,282,"Yakutat Borough/city, AK",2013,285,258,27,9.5
02,290,"Yukon-Koyukuk Census Area, AK",2013,2736,2234,502,18.3
04,001,"Apache County, AZ",2013,21829,17813,4016,18.4
04,003,"Cochise County, AZ",2013,51308,46587,4721,9.2
04,005,"Coconino County, AZ",2013,70877,65110,5767,8.1
04,007,"Gila County, AZ",2013,20901,18890,2011,9.6
04,009,"Graham County, AZ",2013,14276,13173,1103,7.7
04,011,"Greenlee County, AZ",2013,4580,4311,269,5.9
04,012,"La Paz County, AZ",2013,8028,7372,656,8.2
04,013,"Maricopa County, AZ",2013,1907171,1781737,125434,6.6
04,015,"Mohave County, AZ",2013,76838,68888,7950,10.3
04,017,"Navajo County, AZ",2013,41925,36283,5642,13.5
04,019,"Pima County, AZ",2013,456994,426120,30874,6.8
04,021,"Pinal County, AZ",2013,148275,136324,11951,8.1
04,023,"Santa Cruz County, AZ",2013,20111,17023,3088,15.4
04,025,"Yavapai County, AZ",2013,91587,84500,7087,7.7
04,027,"Yuma County, AZ",2013,94729,70567,24162,25.5
05,001,"Arkansas County, AR",2013,9589,8884,705,7.4
05,003,"Ashley County, AR",2013,8923,7953,970,10.9
05,005,"Baxter County, AR",2013,16067,14775,1292,8
05,007,"Benton County, AR",2013,111857,105567,6290,5.6
05,009,"Boone County, AR",2013,16048,14922,1126,7
05,011,"Bradley County, AR",2013,4127,3722,405,9.8
05,013,"Calhoun County, AR",2013,2424,2226,198,8.2
05,015,"Carroll County, AR",2013,12284,11548,736,6
05,017,"Chicot County, AR",2013,3843,3397,446,11.6
05,019,"Clark County, AR",2013,9923,9030,893,9
05,021,"Clay County, AR",2013,6530,5895,635,9.7
05,023,"Cleburne County, AR",2013,10028,9172,856,8.5
05,025,"Cleveland County, AR",2013,3600,3328,272,7.6
05,027,"Columbia County, AR",2013,9679,8830,849,8.8
05,029,"Conway County, AR",2013,8647,7850,797,9.2
05,031,"Craighead County, AR",2013,49333,46104,3229,6.5
05,033,"Crawford County, AR",2013,27056,24989,2067,7.6
05,035,"Crittenden County, AR",2013,21541,19737,1804,8.4
05,037,"Cross County, AR",2013,8207,7586,621,7.6
05,039,"Dallas County, AR",2013,2934,2616,318,10.8
05,041,"Desha County, AR",2013,5644,5100,544,9.6
05,043,"Drew County, AR",2013,8169,7370,799,9.8
05,045,"Faulkner County, AR",2013,59300,55458,3842,6.5
05,047,"Franklin County, AR",2013,7423,6913,510,6.9
05,049,"Fulton County, AR",2013,4918,4579,339,6.9
05,051,"Garland County, AR",2013,40834,37743,3091,7.6
05,053,"Grant County, AR",2013,8273,7733,540,6.5
05,055,"Greene County, AR",2013,19420,17889,1531,7.9
05,057,"Hempstead County, AR",2013,10096,9365,731,7.2
05,059,"Hot Spring County, AR",2013,14111,13084,1027,7.3
05,061,"Howard County, AR",2013,6235,5836,399,6.4
05,063,"Independence County, AR",2013,15805,14382,1423,9
05,065,"Izard County, AR",2013,5002,4570,432,8.6
05,067,"Jackson County, AR",2013,6276,5593,683,10.9
05,069,"Jefferson County, AR",2013,31027,27830,3197,10.3
05,071,"Johnson County, AR",2013,10564,9756,808,7.6
05,073,"Lafayette County, AR",2013,2743,2479,264,9.6
05,075,"Lawrence County, AR",2013,7149,6515,634,8.9
